NodeID,Name,Degree,SI,SRI,Therapeutic_Class
47,Jumbo 100 mg/500 mg Tablet,25,0.044964028776978415,0.9550359712230216,  PAIN ANALGESIC
48,Pinom 20 Tablet,5,0.008992805755395683,0.9910071942446044,  CARDIAC 
49,Montaris-BL Tablet,4,0.007194244604316547,0.9928057553956835,  RESPIRATOR
50,Fusigen-DP Cream,3,0.00539568345323741,0.9946043165467626,  DERM
51,Migray Plus 40mg/10mg Tablet,92,0.16546762589928057,0.8345323741007195,  CARDIA
52,Levochoice 5mg Tablet,412,0.7410071942446043,0.25899280575539574,  RESPIRATOR
53,Flunargen 10mg Tablet,250,0.44964028776978415,0.5503597122302158,  NEURO CNS 
54,Walcepon T Syrup,405,0.7284172661870504,0.2715827338129496,  VITAMINS MINERALS NUTRIENT
55,Preqm NT 75mg/10mg/1500mcg Tablet,20,0.03597122302158273,0.9640287769784173,  NEURO CN
56,Rabistar 20mg Tablet,56,0.10071942446043165,0.8992805755395683,  GASTRO INTESTINAL 
57,Relidep 25mg Tablet,219,0.39388489208633093,0.6061151079136691,  NEURO CNS 
58,Isotroin 30 Capsule,0,0.0,1.0,  DERMA 
59,Okdef 6mg Tablet,2,0.0035971223021582736,0.9964028776978417,  HORMONE
60,Ketoven Cream 2%,1,0.0017985611510791368,0.9982014388489209,  DERM
61,Tadamit 5mg Tablet,76,0.1366906474820144,0.8633093525179856,  SEX STIMULANTS REJUVENATORS 
62,Pregadoc M - SR 75 Tablet,31,0.05575539568345324,0.9442446043165468,  NEURO CN
63,Silphex 250mg Tablet DT,25,0.044964028776978415,0.9550359712230216,  ANTI INFECTIVES 
64,Drotavin MF 80mg/250mg Tablet,11,0.019784172661870502,0.9802158273381295,  GASTRO INTESTINA
65,Vesbal OD 48mg Tablet SR,410,0.737410071942446,0.262589928057554,  NEURO CNS 
66,Etobest 400mg Tablet,59,0.10611510791366907,0.8938848920863309,  PAIN ANALGESICS 
67,Bioprin 60mg Injection,268,0.48201438848920863,0.5179856115107914,  BLOOD RELATED 
68,Telemac 40mg Tablet,1,0.0017985611510791368,0.9982014388489209,  CARDIA
69,Rexipra Plus Tablet,449,0.8075539568345323,0.19244604316546765,  NEURO CN
70,Vomiwon+ Tablet,239,0.42985611510791366,0.5701438848920863,  GASTRO INTESTINA
71,El Pio 30mg Tablet,45,0.08093525179856115,0.9190647482014389,  ANTI DIABETIC 
72,Dipax 10mg Tablet,381,0.685251798561151,0.31474820143884896,  NEURO CNS 
73,Ivacardin 5mg Tablet,5,0.008992805755395683,0.9910071942446044,  CARDIAC 
74,Xeratio 10mg Tablet,69,0.12410071942446044,0.8758992805755396,  PAIN ANALGESICS 
75,Zepox 10mg Tablet,10,0.017985611510791366,0.9820143884892086,  NEURO CNS 
76,Topcnx 25mg Tablet,2,0.0035971223021582736,0.9964028776978417,  NEURO CN
77,Flunetra Plus Syrup,473,0.8507194244604317,0.1492805755395683,  RESPIRATOR
78,Incet 10mg Tablet,20,0.03597122302158273,0.9640287769784173,  RESPIRATOR
79,Funzi-NM Cream,207,0.3723021582733813,0.6276978417266187,  DERM
80,NIOGENTA-F CREAM,209,0.37589928057553956,0.6241007194244604,  DERM
81,Glimtin M 3mg/500mg Tablet ER,129,0.23201438848920863,0.7679856115107914,  ANTI DIABETI
82,Althrocin 500 Tablet,2,0.0035971223021582736,0.9964028776978417,  ANTI INFECTIVES 
83,Prostin VR Paediatric Injection,28,0.050359712230215826,0.9496402877697842,  CARDIAC 
84,Renidex Eye/Ear Drops,30,0.0539568345323741,0.9460431654676259,  OPHTHAL OTOLOGICAL
85,Dinopain 0.1% Eye Drop,1,0.0017985611510791368,0.9982014388489209,  OPHTHAL 
86,Elcoxib TH 60mg/4mg Tablet,19,0.0341726618705036,0.9658273381294964,  PAIN ANALGESIC
87,Azix 500mg Tablet,333,0.5989208633093526,0.40107913669064743,  ANTI INFECTIVES 
88,Ketexa Cream,2,0.0035971223021582736,0.9964028776978417,  DERM
89,Fertroz 2.5mg Tablet,16,0.02877697841726619,0.9712230215827338,  ANTI NEOPLASTICS 
90,Bromf Eye Drop,89,0.16007194244604317,0.8399280575539568,  OPHTHAL 
91,Renice Tablet,437,0.7859712230215827,0.21402877697841727,  PAIN ANALGESIC
92,DexLuz Oral Solution Lemon,267,0.4802158273381295,0.5197841726618705,  GASTRO INTESTINAL 
93,Acicloric TH 100mg/4mg Tablet,406,0.7302158273381295,0.2697841726618705,  PAIN ANALGESIC
94,Methylife 500mcg Injection,20,0.03597122302158273,0.9640287769784173,  VITAMINS MINERALS NUTRIENT
95,Cefdron 200mg Tablet,121,0.21762589928057555,0.7823741007194245,  ANTI INFECTIVES 
96,Indizole 20mg Tablet,24,0.04316546762589928,0.9568345323741008,  GASTRO INTESTINAL 
97,Willgo P Tablet,11,0.019784172661870502,0.9802158273381295,  PAIN ANALGESIC
98,Esipro 5mg Tablet,11,0.019784172661870502,0.9802158273381295,  NEURO CNS 
99,Coldcure-P Tablet,56,0.10071942446043165,0.8992805755395683,  RESPIRATOR
100,Pseudocef 1gm Injection,45,0.08093525179856115,0.9190647482014389,  ANTI INFECTIVES 
101,Gabalent 100 Tablet,37,0.06654676258992806,0.9334532374100719,  NEURO CNS 
102,Gabaxone 300 Tablet,10,0.017985611510791366,0.9820143884892086,  NEURO CNS 
103,Flutik Tablet,273,0.4910071942446043,0.5089928057553956,  RESPIRATOR
104,Tufcuf Syrup,22,0.039568345323741004,0.960431654676259,  RESPIRATOR
105,Dosil 500 Capsule,185,0.3327338129496403,0.6672661870503598,  CARDIAC 
106,HG Fer 5mg Injection,24,0.04316546762589928,0.9568345323741008,  GYNAECOLOGICAL 
107,Worbend Plus Oral Suspension,12,0.02158273381294964,0.9784172661870504,  ANTI INFECTIVE
108,Keser D 50mg/10mg Tablet,6,0.01079136690647482,0.9892086330935251,  PAIN ANALGESIC
109,Alizap 30mg Tablet,13,0.023381294964028777,0.9766187050359713,  PAIN ANALGESIC
110,Fixflem-SP Tablet,11,0.019784172661870502,0.9802158273381295,  PAIN ANALGESIC
111,Nebiset 2.5mg Tablet,1,0.0017985611510791368,0.9982014388489209,  CARDIAC 
112,Paronix P Syrup,254,0.4568345323741007,0.5431654676258992,  PAIN ANALGESIC
113,Dipolip 20mg Tablet,4,0.007194244604316547,0.9928057553956835,  CARDIAC 
114,Aclopam P 100mg/325mg Tablet,66,0.11870503597122302,0.8812949640287769,  PAIN ANALGESIC
115,BE Relax 0.25mg Tablet,61,0.10971223021582734,0.8902877697841727,  NEURO CNS 
116,Bilagen 20mg Tablet,280,0.5035971223021583,0.49640287769784175,  RESPIRATOR
117,Smicet Tablet,14,0.025179856115107913,0.9748201438848921,  RESPIRATOR
118,Muciday F 10mg/120mg/200mg Tablet,328,0.5899280575539568,0.41007194244604317,  RESPIRATOR
119,Ketomol-DSR Capsule,218,0.3920863309352518,0.6079136690647482,  GASTRO INTESTINA
120,Rabekay DSR CAPSULE,208,0.37410071942446044,0.6258992805755396,  GASTRO INTESTINA
121,Doxy Mine Plus Tablet,10,0.017985611510791366,0.9820143884892086,  GASTRO INTESTINA
122,Pregapress NT 75mg/10mg Tablet,96,0.17266187050359713,0.8273381294964028,  NEURO CN
123,Estexim O 200mg/200mg Tablet,39,0.07014388489208633,0.9298561151079137,  ANTI INFECTIVE
124,Lipicard-AV Tablet,9,0.01618705035971223,0.9838129496402878,  CARDIA
125,Vzol-DM Capsule,1,0.0017985611510791368,0.9982014388489209,  GASTRO INTESTINA
126,Baroxime 200mg Tablet,16,0.02877697841726619,0.9712230215827338,  ANTI INFECTIVES 
127,Sefix 200mg Tablet,214,0.38489208633093525,0.6151079136690647,  ANTI INFECTIVES 
128,Cintigo Forte Tablet,347,0.6241007194244604,0.37589928057553956,  NEURO CNS 
129,Dexhat 4mg Tablet,3,0.00539568345323741,0.9946043165467626,  HORMONES 
130,Winpace 2.5 Tablet,438,0.7877697841726619,0.21223021582733814,  CARDIA
131,Olivert 10mg Tablet,92,0.16546762589928057,0.8345323741007195,  NEURO CNS 
132,Geminor MP 1 Tablet SR,270,0.4856115107913669,0.5143884892086331,  ANTI DIABETI
133,Rabevera-L Capsule SR,90,0.1618705035971223,0.8381294964028777,  GASTRO INTESTINA
134,Hepatoz 70mg Tablet,504,0.9064748201438849,0.09352517985611508,  GASTRO INTESTINAL 
135,Tapra D 30mg/40mg Capsule SR,334,0.6007194244604317,0.3992805755395683,  GASTRO INTESTINA
136,Natpro 200mg Tablet,267,0.4802158273381295,0.5197841726618705,  GYNAECOLOGICAL 
137,Tobacin 60mg Injection,2,0.0035971223021582736,0.9964028776978417,  OPHTHAL OTOLOGICAL
138,Osil Capsule,203,0.36510791366906475,0.6348920863309353,  CARDIAC 
139,Indefast 250mg Tablet,17,0.030575539568345324,0.9694244604316546,  OPHTHAL 
140,Betar 24 Tablet,389,0.6996402877697842,0.30035971223021585,  NEURO CNS 
141,Flovas 2.5mg Tablet,151,0.2715827338129496,0.7284172661870504,  BLOOD RELATED 
142,Nexrab 20mg Injection,17,0.030575539568345324,0.9694244604316546,  GASTRO INTESTINAL 
143,Cefpozan 200mg Tablet,95,0.17086330935251798,0.829136690647482,  ANTI INFECTIVES 
144,Vinamika 250mg Injection,0,0.0,1.0,  ANTI INFECTIVES 
145,Neromet-P 75 Capsule,55,0.09892086330935251,0.9010791366906474,  NEURO CN
146,Epizep-MD 0.5 Tablet,370,0.6654676258992805,0.33453237410071945,  NEURO CNS 
147,Pioride 1mg Tablet,332,0.5971223021582733,0.40287769784172667,  GASTRO INTESTINAL 
148,Ketobase CT Shampoo,3,0.00539568345323741,0.9946043165467626,  DERM
149,N-DIP 20MG TABLET,476,0.8561151079136691,0.14388489208633093,  CARDIA
150,Jemnac-T 4 Tablet,40,0.07194244604316546,0.9280575539568345,  PAIN ANALGESIC
151,Relaxwell Plus 8mg/100mg/325mg Tablet,392,0.7050359712230215,0.29496402877697847,  PAIN ANALGESIC
152,Amlosafe-LS 5/5 Tablet,349,0.6276978417266187,0.3723021582733813,  CARDIA
153,Hyscab Lotion,22,0.039568345323741004,0.960431654676259,  DERM
154,Redustat 5mg Tablet,3,0.00539568345323741,0.9946043165467626,  CARDIAC 
155,Kifen MR 100mg/325mg/250mg Tablet,480,0.8633093525179856,0.13669064748201443,  PAIN ANALGESIC
156,Cefomed 200mg Tablet,3,0.00539568345323741,0.9946043165467626,  ANTI INFECTIVES 
157,Ciprovec TZ 500mg/600mg Tablet,377,0.6780575539568345,0.32194244604316546,  GASTRO INTESTINA
158,Vildipep M 500mg/50mg Tablet,52,0.09352517985611511,0.9064748201438849,  ANTI DIABETI
159,Fluran Plus Tablet,78,0.14028776978417265,0.8597122302158273,  RESPIRATOR
160,Endopar Oral Suspension,12,0.02158273381294964,0.9784172661870504,  PAIN ANALGESIC
161,Cilzen 5mg Tablet,46,0.08273381294964029,0.9172661870503597,  CARDIAC 
162,Gramac 100mg Tablet DT,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVES 
163,Oflaas OZ 200mg/500mg Tablet,3,0.00539568345323741,0.9946043165467626,  GASTRO INTESTINA
164,Quidox 100mg Capsule,114,0.20503597122302158,0.7949640287769784,  ANTI INFECTIVES 
165,Vasorin 5mg Tablet,4,0.007194244604316547,0.9928057553956835,  NEURO CNS 
166,Tenoflam  Plus Tablet,242,0.4352517985611511,0.564748201438849,  PAIN ANALGESIC
167,Cafe Cof Plus Syrup,1,0.0017985611510791368,0.9982014388489209,  RESPIRATOR
168,Forscar Ointment,96,0.17266187050359713,0.8273381294964028,  DERM
169,C Todo 400mg Tablet ER,5,0.008992805755395683,0.9910071942446044,  PAIN ANALGESICS 
170,Tolpetab-D 150mg/50mg Tablet,422,0.7589928057553957,0.24100719424460426,  PAIN ANALGESIC
171,Dydronorm 10mg Tablet,204,0.3669064748201439,0.6330935251798562,  GYNAECOLOGICAL 
172,Oloeye Ophthalmic Solution,68,0.1223021582733813,0.8776978417266187,  OPHTHAL 
173,Nadno 4mg Tablet,77,0.13848920863309352,0.8615107913669064,  GASTRO INTESTINAL 
174,Bphlo S 8mg Tablet,321,0.5773381294964028,0.42266187050359716,  UROLOGY 
175,Viminic Oral Drops,150,0.2697841726618705,0.7302158273381295,  RESPIRATOR
176,Oxirome 1gm Injection,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVES 
177,Diovol LA Forte Suspension Orange,30,0.0539568345323741,0.9460431654676259,  GASTRO INTESTINA
178,Nuzep 10mg Tablet,50,0.08992805755395683,0.9100719424460432,  NEURO CNS 
179,Amolox CV LB 500mg/125mg Tablet,334,0.6007194244604317,0.3992805755395683,  ANTI INFECTIVE
180,Ronivox 500mg Tablet,335,0.6025179856115108,0.3974820143884892,  OPHTHAL 
181,Ofbid 400mg Tablet,4,0.007194244604316547,0.9928057553956835,  ANTI INFECTIVES 
182,Blugest 200 Soft Gelatin Capsule,327,0.5881294964028777,0.4118705035971223,  GYNAECOLOGICAL 
183,Gaszom 20mg Tablet,6,0.01079136690647482,0.9892086330935251,  GASTRO INTESTINAL 
184,Oflorax-OZ Tablet,522,0.9388489208633094,0.0611510791366906,  GASTRO INTESTINA
185,Exeption 500 Tablet,90,0.1618705035971223,0.8381294964028777,  ANTI INFECTIVES 
186,Etomet P 60mg/325mg Tablet,69,0.12410071942446044,0.8758992805755396,  PAIN ANALGESIC
187,Koxymide 500mg Tablet,3,0.00539568345323741,0.9946043165467626,  ANTI INFECTIVES 
188,Acelodol Plus 100mg/500mg Tablet,497,0.8938848920863309,0.10611510791366907,  PAIN ANALGESIC
189,Isoamp 10mg Soft Gelatin Capsule,129,0.23201438848920863,0.7679856115107914,  DERMA 
190,Kandolac 600mg Tablet ER,1,0.0017985611510791368,0.9982014388489209,  PAIN ANALGESICS 
191,Lactihep Plus Oral Emulsion,326,0.5863309352517986,0.4136690647482014,  GASTRO INTESTINA
192,Fio-Tas 120 Tablet,317,0.5701438848920863,0.42985611510791366,  RESPIRATORY 
193,Rabaroo-LSR Capsule,16,0.02877697841726619,0.9712230215827338,  GASTRO INTESTINA
194,Littl ON 2mg Oral Drops,219,0.39388489208633093,0.6061151079136691,  GASTRO INTESTINAL 
195,Fedixim Dry Syrup,96,0.17266187050359713,0.8273381294964028,  ANTI INFECTIVES 
196,Eflox-OZ Tablet,14,0.025179856115107913,0.9748201438848921,  GASTRO INTESTINA
197,Cufvay D Syrup,6,0.01079136690647482,0.9892086330935251,  RESPIRATOR
198,Linolid 600mg Tablet,452,0.8129496402877698,0.18705035971223016,  ANTI INFECTIVES 
199,Moxnix-CV DS Dry Syrup,40,0.07194244604316546,0.9280575539568345,  ANTI INFECTIVE
200,Foxymalt Injection,50,0.08992805755395683,0.9100719424460432,  GYNAECOLOGICAL 
201,Difen MR Tablet,303,0.5449640287769785,0.45503597122302153,  PAIN ANALGESIC
202,Vildaspec 50mg Tablet,265,0.4766187050359712,0.5233812949640289,  ANTI DIABETIC 
203,Sariom-D 10mg/20mg Capsule,413,0.7428057553956835,0.2571942446043165,  GASTRO INTESTINA
204,Cabaza Tablet,4,0.007194244604316547,0.9928057553956835,  CARDIAC 
205,Meriway LM 10mg/5mg/200mg Tablet,261,0.4694244604316547,0.5305755395683454,  RESPIRATOR
206,Kapmik 100mg Injection,7,0.012589928057553957,0.987410071942446,  ANTI INFECTIVES 
207,Acetis SP Tablet,0,0.0,1.0,  PAIN ANALGESIC
208,Fayon 2mg Oral Drops,15,0.02697841726618705,0.9730215827338129,  GASTRO INTESTINAL 
209,Melzene 0.1% Cream,9,0.01618705035971223,0.9838129496402878,  DERMA 
210,Flundoc 10mg Tablet,0,0.0,1.0,  NEURO CNS 
211,Itcort 6mg Syrup,214,0.38489208633093525,0.6151079136690647,  HORMONE
212,Bilvast M 20mg/10mg Tablet,2,0.0035971223021582736,0.9964028776978417,  RESPIRATOR
213,Fiboflox-OZ Oral Suspension,114,0.20503597122302158,0.7949640287769784,  GASTRO INTESTINA
214,Broxol Expectorant,2,0.0035971223021582736,0.9964028776978417,  RESPIRATORY 
215,Nimstal 100mg Tablet,3,0.00539568345323741,0.9946043165467626,  PAIN ANALGESIC
216,Agiclob NM Cream,3,0.00539568345323741,0.9946043165467626,  DERM
217,L-Thyroid 25mcg Tablet,11,0.019784172661870502,0.9802158273381295,  HORMONES 
218,Lavidoxime 200mg Tablet,329,0.591726618705036,0.40827338129496404,  ANTI INFECTIVES 
219,Himdriol Soft Gelatin Capsule,215,0.38669064748201437,0.6133093525179856,  SEX STIMULANTS REJUVENATOR
220,Lenzobact 600mg Tablet,370,0.6654676258992805,0.33453237410071945,  ANTI INFECTIVES 
221,Napcet Tablet,393,0.7068345323741008,0.29316546762589923,  NEURO CN
222,VG3 Softgel Suppositories,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVE
223,Brutex 200mg Tablet,300,0.539568345323741,0.460431654676259,  PAIN ANALGESICS 
224,Moxipil CV Dry Syrup,67,0.12050359712230216,0.8794964028776978,  ANTI INFECTIVE
225,Vinfeb 40mg Tablet,95,0.17086330935251798,0.829136690647482,  PAIN ANALGESICS 
226,Rosedro 80mg/250mg Tablet,87,0.1564748201438849,0.8435251798561151,  GASTRO INTESTINA
227,Qraspan D 10mg/40mg Tablet,24,0.04316546762589928,0.9568345323741008,  GASTRO INTESTINA
228,Nimdec SP 100mg/325mg/10mg Tablet,12,0.02158273381294964,0.9784172661870504,  PAIN ANALGESIC
229,Joecool D 30mg/40mg Capsule SR,323,0.5809352517985612,0.4190647482014388,  GASTRO INTESTINA
230,Ucopent D 10mg/40mg Tablet,10,0.017985611510791366,0.9820143884892086,  GASTRO INTESTINA
231,Ozefit Lotion,0,0.0,1.0,  DERM
232,Lanspro 30 Capsule,210,0.3776978417266187,0.6223021582733813,  GASTRO INTESTINAL 
233,Xirtam 20 Tablet,27,0.048561151079136694,0.9514388489208633,  CARDIAC 
234,Newlax 10mg Tablet,8,0.014388489208633094,0.9856115107913669,  GASTRO INTESTINAL 
235,Libral 12.5 mg/5 mg Tablet,74,0.13309352517985612,0.8669064748201438,  NEURO CN
236,Decy 6mg Tablet,11,0.019784172661870502,0.9802158273381295,  HORMONE
237,Novegrow 10% Solution,0,0.0,1.0,  DERM
238,AB Glymprd M 1mg/500mg Tablet SR,97,0.17446043165467626,0.8255395683453237,  ANTI DIABETI
239,Inflachek Tablet,5,0.008992805755395683,0.9910071942446044,  PAIN ANALGESIC
240,Valence 2.5mg Tablet,386,0.6942446043165468,0.3057553956834532,  CARDIAC 
241,Aricet LA 5mg/60mg Tablet,429,0.7715827338129496,0.22841726618705038,  RESPIRATOR
242,Duo Clav 250mg/125mg Tablet,256,0.460431654676259,0.539568345323741,  ANTI INFECTIVE
243,Jubiglim M Forte 3mg/1000mg Tablet PR,0,0.0,1.0,  ANTI DIABETI
244,Candeol Cream,0,0.0,1.0,  DERMA 
245,Cofsy DMR Tablet,3,0.00539568345323741,0.9946043165467626,  RESPIRATOR
246,Vertizor 8 Tablet,273,0.4910071942446043,0.5089928057553956,  NEURO CNS 
247,Levfloxin 750mg Tablet,279,0.5017985611510791,0.4982014388489209,  OPHTHAL 
248,Cogtin Plus 60mg/800mg/5mg Tablet,10,0.017985611510791366,0.9820143884892086,  VITAMINS MINERALS NUTRIENT
249,Vicotus X Syrup,72,0.12949640287769784,0.8705035971223022,  RESPIRATOR
250,Diclotal 25mg Injection,4,0.007194244604316547,0.9928057553956835,  PAIN ANALGESICS 
251,Tenlison 20mg Tablet,418,0.7517985611510791,0.24820143884892087,  ANTI DIABETIC 
252,Dilof BTR Tablet,128,0.2302158273381295,0.7697841726618705,  PAIN ANALGESIC
253,Decomic Plus Eye Drop,140,0.2517985611510791,0.7482014388489209,  OPHTHAL 
254,Nervpack NT 75mg/10mg/1500mcg Capsule,354,0.6366906474820144,0.3633093525179856,  NEURO CN
255,Lysiprin 500 Tablet,0,0.0,1.0,  NEURO CNS 
256,Necpanto 40mg Injection,6,0.01079136690647482,0.9892086330935251,  GASTRO INTESTINAL 
257,Cilniblu T 10mg/40mg Tablet,264,0.4748201438848921,0.525179856115108,  CARDIA
258,Dolar 4mg/7.5mg/5mg Syrup,4,0.007194244604316547,0.9928057553956835,  RESPIRATOR
259,FAROLF 300mg Tablet,59,0.10611510791366907,0.8938848920863309,  ANTI INFECTIVES 
260,Glypar M Forte 2mg/1000mg Tablet,173,0.31115107913669066,0.6888489208633093,  ANTI DIABETI
261,Micabal Injection,1,0.0017985611510791368,0.9982014388489209,  VITAMINS MINERALS NUTRIENT
262,Petresin 20IU Injection,57,0.10251798561151079,0.8974820143884892,  HORMONES 
263,Rifzox 200mg Tablet,56,0.10071942446043165,0.8992805755395683,  GASTRO INTESTINAL 
264,Kiopan 40 Injection,270,0.4856115107913669,0.5143884892086331,  GASTRO INTESTINAL 
265,Gliway MP 2 mg/500 mg/15 mg Tablet,80,0.14388489208633093,0.8561151079136691,  ANTI DIABETI
266,Fusitrend-C Cream,2,0.0035971223021582736,0.9964028776978417,  DERM
267,Breaze-FX Tablet,17,0.030575539568345324,0.9694244604316546,  RESPIRATOR
268,Fondaflo 2.5 Injection,26,0.046762589928057555,0.9532374100719424,  CARDIAC 
269,Lactihusk  Granules Sugar Free,145,0.2607913669064748,0.7392086330935252,  GASTRO INTESTINA
270,Revive 100mg Injection,204,0.3669064748201439,0.6330935251798562,  PAIN ANALGESICS 
271,Qvcef AZ 200mg/250mg Tablet,10,0.017985611510791366,0.9820143884892086,  ANTI INFECTIVE
272,Voliphage-M 500mg/0.3mg Tablet SR,109,0.1960431654676259,0.8039568345323741,  ANTI DIABETI
273,Lifetel-AM Tablet,95,0.17086330935251798,0.829136690647482,  CARDIA
274,Hicipro 125mg Tablet,6,0.01079136690647482,0.9892086330935251,  GASTRO INTESTINAL 
275,Irs 20 mg/150 mg Capsule,273,0.4910071942446043,0.5089928057553956,  GASTRO INTESTINA
276,Genericart Amlodipine Besylate+Metoprolol Succinate 5mg/50mg Tablet ER,46,0.08273381294964029,0.9172661870503597,  CARDIA
277,Cyblex 60 XR Tablet,6,0.01079136690647482,0.9892086330935251,  ANTI DIABETIC 
278,PPG MD 0.3 Tablet,9,0.01618705035971223,0.9838129496402878,  ANTI DIABETIC 
279,Doxyfresh OD Tablet,25,0.044964028776978415,0.9550359712230216,  GASTRO INTESTINA
280,Megapentin G 300mg/500mcg Tablet,153,0.2751798561151079,0.724820143884892,  NEURO CN
281,Divalep 250mg Tablet ER,327,0.5881294964028777,0.4118705035971223,  NEURO CNS 
282,Jubiglim M 2 Tablet PR,35,0.06294964028776978,0.9370503597122302,  ANTI DIABETI
283,Livezy M 5mg/10mg Tablet,6,0.01079136690647482,0.9892086330935251,  RESPIRATOR
284,Iimoclav Oral Suspension,24,0.04316546762589928,0.9568345323741008,  ANTI INFECTIVE
285,Injicort 40mg Injection,184,0.33093525179856115,0.6690647482014389,  DERMA 
286,Santramol 37.5mg/325mg Tablet,214,0.38489208633093525,0.6151079136690647,  PAIN ANALGESIC
287,Nimtech 100mg Tablet,87,0.1564748201438849,0.8435251798561151,  PAIN ANALGESIC
288,Spr Nac 100mg/325mg/10mg Tablet,6,0.01079136690647482,0.9892086330935251,  PAIN ANALGESIC
289,Maxtra Cold Plus Tablet,11,0.019784172661870502,0.9802158273381295,  RESPIRATOR
