Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Instaflex P Tablet SR,PAIN ANALGESICS,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Megasure CV 500mg/125mg Tablet,ANTI INFECTIVES,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gynomic NP 100mg Tablet,GYNAECOLOGICAL,60,1.01,8.99,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Unimyco 200 Capsule,ANTI INFECTIVES,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wipac-C Gel,DERMA,475,8.02,1.98,High Flexibility (Safe),Lean Inventory (Low Risk)
Logithro 250 Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Rdmac D 30mg/20mg Capsule SR,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Hycet 10mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
I Ket 2% Cream,DERMA,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ticocit-P Tablet,NEURO CNS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Inte-Zol 20 Capsule DR,GASTRO INTESTINAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
I Nac Eye Drop,OPHTHAL,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levoler M Kid 2.5mg/4mg Tablet,RESPIRATORY,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ice Ultra Eye Drop,OPHTHA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amantide Capsule,NEURO CNS,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Panzac 40mg Tablet,GASTRO INTESTINAL,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vovcad Injection,PAIN ANALGESICS,27,0.46,9.54,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Omistil D 10mg/20mg Capsule,GASTRO INTESTINAL,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Neutrahep 10mg Injection,OTHERS,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pantasur-DSR Capsule,GASTRO INTESTINAL,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
MG Clave 625 Tablet,ANTI INFECTIVES,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aslonac S Tablet,PAIN ANALGESICS,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dapazee M 500 XR Tablet,ANTI DIABETICS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oscocef 500mg Injection,ANTI INFECTIVES,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Volitra AQ 75mg Injection 1ml,PAIN ANALGESICS,25,0.42,9.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sertagress 100mg Tablet,NEURO CNS,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Eardri Ear Drop,DERMA,213,3.6,6.4,Medium Flexibility,Regular Monitoring
Zanocin 200mg Infusion,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Vibose 0.2mg Tablet,ANTI DIABETICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Linmox 500mg Capsule,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Jumbo 100 mg/500 mg Tablet,PAIN ANALGESICS,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pinom 20 Tablet,CARDIAC,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Montaris-BL Tablet,RESPIRATORY,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fusigen-DP Cream,DERMA,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Migray Plus 40mg/10mg Tablet,CARDIAC,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Levochoice 5mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Flunargen 10mg Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Walcepon T Syrup,VITAMINS MINERALS NUTRIENT,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Preqm NT 75mg/10mg/1500mcg Tablet,NEURO CNS,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabistar 20mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Relidep 25mg Tablet,NEURO CNS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Isotroin 30 Capsule,DERMA,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Okdef 6mg Tablet,HORMONE,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ketoven Cream 2%,DERMA,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tadamit 5mg Tablet,SEX STIMULANTS REJUVENATORS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pregadoc M - SR 75 Tablet,NEURO CNS,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Silphex 250mg Tablet DT,ANTI INFECTIVES,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drotavin MF 80mg/250mg Tablet,GASTRO INTESTINAL,87,1.47,8.53,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vesbal OD 48mg Tablet SR,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Etobest 400mg Tablet,PAIN ANALGESICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bioprin 60mg Injection,BLOOD RELATED,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Telemac 40mg Tablet,CARDIAC,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rexipra Plus Tablet,NEURO CNS,586,9.9,0.1,High Flexibility (Safe),Lean Inventory (Low Risk)
Vomiwon+ Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
El Pio 30mg Tablet,ANTI DIABETICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dipax 10mg Tablet,NEURO CNS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Ivacardin 5mg Tablet,CARDIAC,91,1.54,8.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xeratio 10mg Tablet,PAIN ANALGESICS,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zepox 10mg Tablet,NEURO CNS,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Topcnx 25mg Tablet,NEURO CNS,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flunetra Plus Syrup,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Incet 10mg Tablet,RESPIRATORY,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Funzi-NM Cream,DERMA,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
NIOGENTA-F CREAM,DERMA,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Glimtin M 3mg/500mg Tablet ER,ANTI DIABETICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Althrocin 500 Tablet,ANTI INFECTIVES,52,0.88,9.12,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prostin VR Paediatric Injection,CARDIAC,578,9.76,0.24,High Flexibility (Safe),Lean Inventory (Low Risk)
Renidex Eye/Ear Drops,OPHTHAL OTOLOGICAL,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dinopain 0.1% Eye Drop,OPHTHAL,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elcoxib TH 60mg/4mg Tablet,PAIN ANALGESICS,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Azix 500mg Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Ketexa Cream,DERMA,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fertroz 2.5mg Tablet,ANTI NEOPLASTICS,25,0.42,9.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bromf Eye Drop,OPHTHAL,586,9.9,0.1,High Flexibility (Safe),Lean Inventory (Low Risk)
Renice Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
DexLuz Oral Solution Lemon,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Acicloric TH 100mg/4mg Tablet,PAIN ANALGESICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Methylife 500mcg Injection,VITAMINS MINERALS NUTRIENT,309,5.22,4.78,Medium Flexibility,Regular Monitoring
Cefdron 200mg Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Indizole 20mg Tablet,GASTRO INTESTINAL,90,1.52,8.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Willgo P Tablet,PAIN ANALGESICS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Esipro 5mg Tablet,NEURO CNS,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coldcure-P Tablet,RESPIRATORY,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pseudocef 1gm Injection,ANTI INFECTIVES,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gabalent 100 Tablet,NEURO CNS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gabaxone 300 Tablet,NEURO CNS,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flutik Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Tufcuf Syrup,RESPIRATORY,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dosil 500 Capsule,CARDIAC,264,4.46,5.54,Medium Flexibility,Regular Monitoring
HG Fer 5mg Injection,GYNAECOLOGICAL,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Worbend Plus Oral Suspension,ANTI INFECTIVES,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Keser D 50mg/10mg Tablet,PAIN ANALGESICS,79,1.33,8.67,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Alizap 30mg Tablet,PAIN ANALGESICS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fixflem-SP Tablet,PAIN ANALGESICS,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nebiset 2.5mg Tablet,CARDIAC,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Paronix P Syrup,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Dipolip 20mg Tablet,CARDIAC,61,1.03,8.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aclopam P 100mg/325mg Tablet,PAIN ANALGESICS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
BE Relax 0.25mg Tablet,NEURO CNS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bilagen 20mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Smicet Tablet,RESPIRATORY,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Muciday F 10mg/120mg/200mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Ketomol-DSR Capsule,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabekay DSR CAPSULE,GASTRO INTESTINAL,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Doxy Mine Plus Tablet,GASTRO INTESTINAL,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pregapress NT 75mg/10mg Tablet,NEURO CNS,127,2.15,7.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Estexim O 200mg/200mg Tablet,ANTI INFECTIVES,88,1.49,8.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lipicard-AV Tablet,CARDIAC,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vzol-DM Capsule,GASTRO INTESTINAL,61,1.03,8.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Baroxime 200mg Tablet,ANTI INFECTIVES,63,1.06,8.94,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sefix 200mg Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Cintigo Forte Tablet,NEURO CNS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Dexhat 4mg Tablet,HORMONES,27,0.46,9.54,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Winpace 2.5 Tablet,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Olivert 10mg Tablet,NEURO CNS,128,2.16,7.84,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Geminor MP 1 Tablet SR,ANTI DIABETICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Rabevera-L Capsule SR,GASTRO INTESTINAL,127,2.15,7.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hepatoz 70mg Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Tapra D 30mg/40mg Capsule SR,GASTRO INTESTINAL,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Natpro 200mg Tablet,GYNAECOLOGICAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Tobacin 60mg Injection,OPHTHAL OTOLOGICAL,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Osil Capsule,CARDIAC,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Indefast 250mg Tablet,OPHTHAL,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Betar 24 Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Flovas 2.5mg Tablet,BLOOD RELATED,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Nexrab 20mg Injection,GASTRO INTESTINAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cefpozan 200mg Tablet,ANTI INFECTIVES,131,2.21,7.79,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vinamika 250mg Injection,ANTI INFECTIVES,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Neromet-P 75 Capsule,NEURO CNS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Epizep-MD 0.5 Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Pioride 1mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Ketobase CT Shampoo,DERMA,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
N-DIP 20MG TABLET,CARDIAC,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Jemnac-T 4 Tablet,PAIN ANALGESICS,62,1.05,8.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Relaxwell Plus 8mg/100mg/325mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Amlosafe-LS 5/5 Tablet,CARDIAC,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Hyscab Lotion,DERMA,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Redustat 5mg Tablet,CARDIAC,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kifen MR 100mg/325mg/250mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Cefomed 200mg Tablet,ANTI INFECTIVES,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ciprovec TZ 500mg/600mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Vildipep M 500mg/50mg Tablet,ANTI DIABETICS,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fluran Plus Tablet,RESPIRATORY,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Endopar Oral Suspension,PAIN ANALGESICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cilzen 5mg Tablet,CARDIAC,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gramac 100mg Tablet DT,ANTI INFECTIVES,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflaas OZ 200mg/500mg Tablet,GASTRO INTESTINAL,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Quidox 100mg Capsule,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vasorin 5mg Tablet,NEURO CNS,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tenoflam  Plus Tablet,PAIN ANALGESICS,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Cafe Cof Plus Syrup,RESPIRATORY,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Forscar Ointment,DERMA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
C Todo 400mg Tablet ER,PAIN ANALGESICS,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tolpetab-D 150mg/50mg Tablet,PAIN ANALGESICS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Dydronorm 10mg Tablet,GYNAECOLOGICAL,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Oloeye Ophthalmic Solution,OPHTHAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Nadno 4mg Tablet,GASTRO INTESTINAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bphlo S 8mg Tablet,UROLOGY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Viminic Oral Drops,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Oxirome 1gm Injection,ANTI INFECTIVES,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diovol LA Forte Suspension Orange,GASTRO INTESTINAL,65,1.1,8.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nuzep 10mg Tablet,NEURO CNS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amolox CV LB 500mg/125mg Tablet,ANTI INFECTIVES,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Ronivox 500mg Tablet,OPHTHAL,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Ofbid 400mg Tablet,ANTI INFECTIVES,86,1.45,8.55,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Blugest 200 Soft Gelatin Capsule,GYNAECOLOGICAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Gaszom 20mg Tablet,GASTRO INTESTINAL,83,1.4,8.6,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflorax-OZ Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Exeption 500 Tablet,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etomet P 60mg/325mg Tablet,PAIN ANALGESICS,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Koxymide 500mg Tablet,ANTI INFECTIVES,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acelodol Plus 100mg/500mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Isoamp 10mg Soft Gelatin Capsule,DERMA,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Kandolac 600mg Tablet ER,PAIN ANALGESICS,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lactihep Plus Oral Emulsion,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Fio-Tas 120 Tablet,RESPIRATORY,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabaroo-LSR Capsule,GASTRO INTESTINAL,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Littl ON 2mg Oral Drops,GASTRO INTESTINAL,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Fedixim Dry Syrup,ANTI INFECTIVES,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Eflox-OZ Tablet,GASTRO INTESTINAL,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cufvay D Syrup,RESPIRATORY,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Linolid 600mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Moxnix-CV DS Dry Syrup,ANTI INFECTIVES,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Foxymalt Injection,GYNAECOLOGICAL,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Difen MR Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Vildaspec 50mg Tablet,ANTI DIABETICS,377,6.37,3.63,Medium Flexibility,Regular Monitoring
Sariom-D 10mg/20mg Capsule,GASTRO INTESTINAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Cabaza Tablet,CARDIAC,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Meriway LM 10mg/5mg/200mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Kapmik 100mg Injection,ANTI INFECTIVES,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acetis SP Tablet,PAIN ANALGESICS,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fayon 2mg Oral Drops,GASTRO INTESTINAL,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Melzene 0.1% Cream,DERMA,467,7.89,2.11,High Flexibility (Safe),Lean Inventory (Low Risk)
Flundoc 10mg Tablet,NEURO CNS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Itcort 6mg Syrup,HORMONE,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Bilvast M 20mg/10mg Tablet,RESPIRATORY,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fiboflox-OZ Oral Suspension,GASTRO INTESTINAL,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Broxol Expectorant,RESPIRATORY,25,0.42,9.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimstal 100mg Tablet,PAIN ANALGESICS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Agiclob NM Cream,DERMA,17,0.29,9.71,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
L-Thyroid 25mcg Tablet,HORMONES,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lavidoxime 200mg Tablet,ANTI INFECTIVES,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Himdriol Soft Gelatin Capsule,SEX STIMULANTS REJUVENATOR,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Lenzobact 600mg Tablet,ANTI INFECTIVES,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Napcet Tablet,NEURO CNS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
VG3 Softgel Suppositories,ANTI INFECTIVES,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brutex 200mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Moxipil CV Dry Syrup,ANTI INFECTIVES,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Vinfeb 40mg Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
